%time,field
1441698633553593599,-0.00166510452982
1441698633567512761,-0.0178726948798
1441698633587524776,-0.116196833551
1441698633603290625,-0.224103435874
1441698633621596951,-0.304529130459
1441698633635601127,-0.366857051849
1441698633649966299,-0.412799060345
1441698633665955618,-0.430642187595
1441698633682410520,-0.449206292629
1441698633701148414,-0.457466989756
1441698633724260213,-0.466699957848
1441698633742429605,-0.475655347109
1441698633756108378,-0.475426465273
1441698633767992046,-0.476213216782
1441698633782938881,-0.475563794374
1441698633804116251,-0.350734353065
1441698633820271638,-0.26027700305
1441698633839238850,-0.0813765004277
1441698633858799950,-0.00221060262993
1441698633877667529,-0.00240515102632
1441698633891043449,-0.0023670042865
1441698633910837982,-0.00175284198485
1441698633923883607,-0.0018710969016
1441698633936902574,-0.00175856403075
1441698633950931216,-0.00240515102632
1441698633966248643,-0.00256059900858
1441698633985507954,-0.00259779207408
1441698633996597477,0.12950527668
1441698634009297704,0.291177779436
1441698634021358555,0.364770442247
1441698634034858431,0.508299410343
1441698634050561955,0.571519970894
1441698634065207854,0.679948210716
1441698634082885084,0.742457866669
1441698634099869278,0.796305239201
1441698634116564683,0.832481682301
1441698634131048226,0.859205424786
1441698634147736745,0.886436462402
1441698634168721792,0.911965191364
1441698634187371708,0.948372423649
1441698634203125852,0.985415756702
1441698634222319071,0.999056041241
1441698634236328726,0.998664081097
1441698634247040490,0.99943369627
1441698634265333702,0.999383628368
1441698634282536853,0.999296844006
1441698634299880380,0.999418437481
1441698634315973891,0.998806655407
1441698634332118821,0.998684585094
1441698634351959692,0.999338328838
1441698634368958831,0.999236762524
1441698634385985731,0.999160468578
1441698634404948308,0.999512851238
1441698634417194147,0.998775422573
1441698634435492302,0.99886649847
1441698634453269576,0.999359667301
1441698634467884532,0.998080432415
1441698634485819270,1.00059211254
1441698634503526673,0.999294102192
1441698634519944969,0.998813927174
1441698634530976585,0.998713314533
1441698634549294951,0.998819887638
1441698634566673487,0.999229848385
1441698634583078290,0.99837821722
1441698634603223620,0.999468743801
1441698634618674673,0.999447762966
1441698634633831168,0.999004542828
1441698634647602632,0.998841226101
1441698634666241382,0.998987853527
1441698634683918133,0.999079406261
1441698634700481862,0.998680770397
1441698634717497140,0.998884379864
1441698634732589815,0.998578727245
1441698634750881107,0.998912513256
1441698634766441932,0.998838126659
1441698634785269672,0.998653113842
1441698634802417227,0.998974025249
1441698634817992109,0.998569667339
1441698634835091255,0.998960673809
1441698634850377968,0.999094188213
1441698634868235613,0.999108493328
1441698634884835006,0.999480426311
1441698634900987786,0.999540507793
1441698634920512055,0.999374568462
1441698634934634295,0.999633550644
1441698634950922534,0.999458491802
1441698634963986017,0.99902266264
1441698634985252643,0.999013125896
1441698635003479713,0.998250186443
1441698635018260114,0.998798549175
1441698635036769325,0.999096095562
1441698635053439157,0.999132335186
1441698635067087963,0.999129474163
1441698635086656517,0.999127089977
1441698635103553008,0.997768580914
1441698635122603948,0.999332129955
1441698635136369804,0.998879134655
1441698635147110773,0.998972594738
1441698635164280002,0.999063193798
1441698635184641989,0.998668372631
1441698635199029919,0.998139560223
1441698635216866365,0.998822391033
1441698635236675828,0.999135673046
1441698635254612023,0.99948900938
1441698635267622753,0.999406278133
1441698635282429277,0.998710334301
1441698635302502357,0.998800337315
1441698635318890145,0.999012291431
1441698635337261636,0.998852610588
1441698635352628429,0.999083757401
1441698635366380804,0.99858635664
1441698635384155495,0.999158263206
1441698635400587810,0.998985588551
1441698635417325863,0.999149501324
1441698635438548088,0.998697936535
1441698635451476342,0.997889459133
1441698635470678090,0.999583899975
1441698635485690123,0.999288260937
1441698635500673079,0.999397933483
1441698635520218676,0.99935311079
1441698635533017987,0.998618304729
1441698635547531420,0.998804748058
1441698635568490305,0.99875754118
1441698635583986162,0.998494803905
1441698635599929899,0.998710811138
1441698635615973228,0.998660266399
1441698635633320298,0.998362720013
1441698635652013556,0.998224437237
1441698635667222722,0.997722804546
1441698635684743514,0.998825252056
1441698635704716483,0.999189555645
1441698635725666756,0.999046504498
1441698635737876342,0.999069392681
1441698635752180056,0.99831789732
1441698635769909803,1.00068902969
1441698635784463949,0.999125003815
1441698635803574801,0.998901546001
1441698635818791093,0.998460948467
1441698635834668783,0.999322116375
1441698635850047492,0.998527705669
1441698635867053862,0.997575044632
1441698635883626398,0.998782336712
1441698635902267501,0.998667895794
1441698635918148711,0.99877756834
1441698635935197197,0.999057948589
1441698635951245773,0.998476207256
1441698635964744662,0.9982239604
1441698635982490414,0.998153865337
1441698635999817933,0.997616529465
1441698636016462642,0.997089147568
1441698636032961932,0.998427093029
1441698636050616749,0.99919718504
1441698636071257602,0.998804748058
1441698636085402407,0.997767865658
1441698636099403885,0.999098479748
1441698636120207821,0.998326003551
1441698636135576195,0.998739302158
1441698636153601481,0.9992877841
1441698636169138836,0.999301970005
1441698636181922701,0.999067544937
1441698636199292232,0.998669862747
1441698636215655086,0.998608231544
1441698636232836237,0.99891012907
1441698636247033045,0.997660160065
1441698636265332228,0.999158799648
1441698636280739047,0.998799026012
1441698636299164472,0.998331725597
1441698636315483746,0.997991025448
1441698636332859799,0.923331737518
1441698636355490061,0.851335704327
1441698636367709213,0.734623908997
1441698636380719402,0.635313689709
1441698636401246377,0.517920017242
1441698636420702593,0.384327769279
1441698636436472564,0.231123372912
1441698636451566234,0.0159081388265
1441698636466861441,-0.00149725901429
1441698636485711934,-0.00160073197912
1441698636499900885,-0.00158785749227
1441698636517104486,-0.00167750229593
1441698636533577539,-0.00195454293862
1441698636548861653,-0.00202320702374
1441698636566314229,-0.00175951770507
1441698636585563961,-0.00203846557997
1441698636602254861,-0.00180863158312
1441698636616540758,-0.0806245356798
1441698636632829071,-0.179140359163
1441698636649041624,-0.277516961098
1441698636665791362,-0.37759155035
1441698636684060230,-0.466027587652
1441698636700324960,-0.529500365257
1441698636720203076,-0.6100076437
1441698636735433858,-0.664213657379
1441698636753944981,-0.708647429943
1441698636769050944,-0.762343943119
1441698636782027982,-0.834245979786
1441698636797265196,-0.861415266991
1441698636815805517,-0.915225744247
1441698636833136122,-0.95167940855
1441698636853548284,-0.987535536289
1441698636868105804,-1.00094664097
1441698636885671907,-1.00091207027
1441698636902494354,-1.0011639595
1441698636920315216,-1.00220954418
1441698636937530667,-1.00075399876
1441698636949397103,-1.00085794926
1441698636963902471,-0.999861419201
1441698636982450813,-1.00016665459
1441698636999731026,-1.00121974945
1441698637019409952,-1.00037717819
1441698637035844046,-1.00087404251
1441698637054478481,-1.00071787834
1441698637069153305,-1.00160336494
1441698637080911776,-1.00127243996
1441698637099389944,-1.00046896935
1441698637115757142,-1.00040555
1441698637133069679,-1.0006916523
1441698637151701417,-1.00179171562
1441698637168431491,-1.00157999992
1441698637186939826,-1.00128102303
1441698637201287045,-1.00152134895
1441698637216390679,-1.00169682503
1441698637236112016,-1.00179123878
1441698637250951013,-1.00161576271
1441698637267559160,-1.00096058846
1441698637285543266,-1.00102162361
1441698637300554076,-1.00100541115
1441698637318742964,-1.00077390671
1441698637334039737,-1.00120210648
1441698637349407974,-1.0013821125
1441698637366828707,-1.00169682503
1441698637386583605,-1.00053811073
1441698637399696174,-1.00049328804
1441698637415953842,-1.00060582161
1441698637433270751,-1.00022339821
1441698637452040141,-1.00172543526
1441698637467573210,-1.00038552284
1441698637486829267,-1.00057148933
1441698637500884044,-1.00065779686
1441698637515907619,-1.00116086006
1441698637533843514,-1.0007879734
1441698637550477423,-1.00139737129
1441698637567445263,-1.00152516365
1441698637582645022,-1.00172543526
1441698637598188993,-1.00170683861
1441698637616349353,-1.00127410889
1441698637638282708,-1.00150156021
1441698637650719596,-1.00072550774
1441698637668263906,-1.00065302849
1441698637683087560,-1.00101304054
1441698637698200075,-1.00140714645
1441698637718152739,-1.00094401836
1441698637732167375,-1.0011203289
1441698637752581752,-1.00055325031
1441698637767869146,-1.00061178207
1441698637785032636,-1.00090909004
1441698637802755327,-1.00070083141
1441698637823627317,-1.00019419193
1441698637838293063,-1.00070881844
1441698637857139354,-0.862221598625
1441698637876000896,-0.843694925308
1441698637893562579,-0.772171258926
1441698637910360554,-0.726875841618
1441698637926567995,-0.673207223415
1441698637943333647,-0.565636277199
1441698637963084178,-0.485453784466
1441698637973254229,-0.377306878567
1441698637985159387,-0.251721173525
1441698637995282654,-0.126768246293
1441698638005656924,-0.0628767684102
1441698638017697377,-0.00914710760117
1441698638030971394,-0.00148772227112
1441698638048464619,-0.00163458718453
1441698638063502838,-0.00177906791214
1441698638080886245,-0.00177620688919
1441698638097593160,-0.00187586527318
1441698638114347059,-0.00205610855483
1441698638130804195,-0.00184677832294
1441698638150580684,-0.00210188445635
